hostname;ip;;versao;coleta_lic;pleft;
ra053398.paa.brad;172.24.191.68;BDN 28017 POSTO DO PAPAI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22280.csl.brad;172.24.193.100;1779 AG GARIBALDI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055270.rce.brad;172.25.37.84;50111 BDN PAE BOMBRIL SA;C1700 (C1700-BNR2SY7-M) versao:12.3(10);n;-;
ra008615.enc.brad;172.24.142.108;2141 AG RUA TEREZA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra061458.rce.brad;172.26.248.194;1058 AG CAPIBARIBE;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra03822bd.cta.brad;172.25.232.204;BDN 12431 ATM YORK INTERNACIONAL - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra30455.fla.brad;172.27.71.164;AG. 0455 - IGUATU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra054262.rce.brad;172.24.9.252;BDN 14866 PAE LUZARTE ESTRELA LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra054925.cdl.brad;172.24.252.76;50071 BDN PAE ECAD ESCRITORIO CENTRAL DE ARRECADACAO E DISTRIBUICAO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra054184.bru.brad;172.24.11.52;28007 BDN SUPERMERCADO SANTO ANTONIO JAU;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra061860.rce.brad;172.26.249.130;01 PAB ATI - AG 0289;C1900 (C1900-UNIVERSALK9-M) versao:15.0(1)M4;y;Period left: Life time;
ra035321bd.sat1.brad;172.17.12.140; BDN 26505 PAA JAVI (DISTRITO);1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra022174.lda.brad;172.25.7.212;AG. 0141 IBIPORA - INTERFACE;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra20279bd.mga.brad;172.24.179.100;BDN 13980 EXPRESSO MARINGA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39561.srr.brad;172.25.149.204; BDN 26286 PAA SANTANA DA PONTE PENSA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22344.pcs.brad;172.25.157.12;1016 AG S.GONCALO SAPUCAI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17915bd.sdr.brad;172.24.212.4;BDN 12095 ASSEMBLEIA LEGISLATIVA DA BAHIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035305bd.sat1.brad;172.17.10.108; BDN 26485 PAA TENENTE ANANIAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra18563.nct.brad;172.24.36.196;BDN 12243 CIRCULO ESP ISRAELITA BRASILEIRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04496ag.cens.brad;172.25.144.68;0541 AG ICARAI;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra012525.bsa.brad;172.27.109.52;BDN 2831 PALMAS SHOPPING;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17888.sdr.brad;172.24.211.44;  BDN 7195 BDN PAB SESAB_1;C1700 (C1700-BNR2SY7-M) versao:12.2(11)T;n;-;
ra053301.cdl.brad;172.24.187.132;PAB  PAB 0541-02 U T C ENGENHARIA S A - AG;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39749bd.sat1.brad;172.27.129.28; BDN 22896 - BDN PAA PREFEITURA VARZEADO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra061046.srr.brad;172.26.240.102;AG AV BRASIL URB PRESIDENTE PRUDENTE SP;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra061957.dda.brad;172.26.234.238;PAB  PAB 0272-22 SANKO ESPUMAS  - AG 166785-1;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra059625.mke.brad;172.26.254.138;AG 6518 RUA URUGUAI URB RJ;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra21076bd.mns.brad;172.24.186.156;BDN 11756 HIPERMERCADO CIDADE NOVA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17650bd.pat.brad;172.24.59.60;BDN 21622 EDIFICIO TUTOIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050951.pat.brad;172.25.29.236;PAB  PAB 0156-03 DELOITTE TOUCHE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra054203.jpa.brad;172.24.7.108;28355_28356 BDN ATACADAO CAMPINA GRANDE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038931.rsd.brad;172.26.231.210;21877 BDN SECRETARIA MUNICIPAL DA EDUCACAO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038626.mke.brad;172.26.231.106;3265 BDN PAB SKOL NOVA IGUACU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035535bd.sat1.brad;;;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004745.igs.brad;172.24.13.244;2405 AG PIRAJUCARA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra039033.bru.brad;172.25.105.220; 20532 - BDN AUTO POSTO ECOL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00179.jfa.brad;172.26.132.234;AG 3033 RUA SANTA RITA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra061076.sdr.brad;172.26.231.122;14345 BDN PONTE IRMAO E CIA LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12680pb.sdr.brad;172.24.236.140;PAB 2 ITABUNA TEXTIL LTDA. - AG 239;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035588bd.sat1.brad;172.17.26.172;BDN 14746 TUPER S A;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra061064.bhe.brad;172.26.226.182;29613 BDN SUPERMERCADO COOPEROURO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra06446.cba.brad;172.24.255.68;12321 - BDN PAE SUPERMERCADO MODELO LTDA;C1700 (C1700-BNR2SY7-M) versao:12.2(15)T9;n;-;
ra061196.bsa.brad;172.26.234.30;AG 6550 LAGO NORTE  URB. BSA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra038184bd.sat1.brad;172.17.79.92; BDN 28537 PAA ANTONIO MARTINS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra21813bd.oco.brad;172.25.46.140;BDN 8008 DOCUMENTACAO I;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra060352.bnu.brad;172.26.250.186;6612 AG GERMANIA SUPER CENTER;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra33065.vta.brad;172.27.70.36;AG 3065 - TEOFILO OTONI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra060253.cpe.brad;172.26.247.182;AG 6522 MORENINHAS-URB CPE- MS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra059887.bru.brad;172.26.242.62;29483 BDN SUPERMERCADO ESTRELA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056078.cpe.brad;172.25.234.140;28927 BDN EXTRA JOAQUIM MURTINHO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra056620.blm.brad;172.17.140.140;BDN 29146 SUPERMERCADO SUPER CARAJAS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra26262.foz.brad;172.27.164.28;BDN 14272 PREFEITURA MUNICIPAL DE SANTA ROSA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39304bd.sat1.brad;172.27.156.76; BDN 13409 E 14516 TOME A U PREFEITURA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038212bd.sat1.brad;172.17.83.252; BDN 28706 PAA RIBEIRAOZINHO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059884.cas.brad;172.26.242.50;29372 BDN SUPERMERCADO SAO VICENTE SUMARE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20335bd.oco.brad;172.24.112.124;BDN 21698 RODOVIARIA DE TATUI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059841.bru.brad;172.26.241.10;29550 BDN MAKRO BAURU;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra059828.bru.brad;172.26.240.214;29535 BDN MAKRO PRESIDENTE PRUDENTE;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra03748.mns.brad;172.24.75.164;PAB 15 DELEGACIA GERAL DE POLICIA CIVIL DO ESTADO AM - AG 3726;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra021430.liv.brad;172.24.104.252;3798 / 3799 AGS SAO CRISTOVAO II - TITULAR;1841 (C1841-ENTBASEK9-M) versao:12.4(5a);n;-;
ra059821.cba.brad;172.26.240.186;29511 BDN MAKRO CUIABA;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra052156.pga.brad;172.24.238.204;BDN 27218 SUPERMERCADO RIZOLAR;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra35596bd.sat1.brad;172.17.27.44; BDN 14750 E 14751 SALCOMP IND ELET DA AMAZ LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051222.srr.brad;172.25.98.188;BDN 26376 AUTO POSTO 3F;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39102.bsa.brad;172.26.252.194;22183 BDN AUTO POSTO JM DA SILVA E FILHO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra05082ag.rpo.brad;172.25.100.60;2401 AG ALTO DA BOA VISTA;C2600 (C2600-IS-M) versao:12.2(17a);n;-;
ra059808.cta.brad;172.26.240.134;29522 BDN MAKRO CURITIBA;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra12126.sts.brad;172.25.72.52;0779 AGP GONZAGA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059792.bru.brad;172.25.146.132; 14269 BDN PRUDENCO COMPANHIA PRUDENTINA DE DESENVOLVIMENTO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19007bd.rce.brad;172.24.202.180;BDN 9880 PAE BOMPRECO CAMPO GRANDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38555.bsa.brad;;;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra18996bd.gna.brad;172.24.192.28;BDN 21324 BANANA SHOPPING;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055467.nct.brad;172.25.45.220;27993 BDN EXTRA PERTO CIDADE A E CARVALHO;1841 (C1841-ENTBASEK9-M) versao:12.4(5a);n;-;
ra059778.cba.brad;172.26.241.62;29462 BDN DOCE LAR SUPERMERCADO;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra19603bd.cine.brad;172.24.106.52;BDN 20760 SUPERMERCADO INTERCONTINENTAL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra059720.bhe.brad;172.26.241.230;29453 BDN BH BELO HORIZONTE - LOJA 95;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035579bd.sat1.brad;172.17.25.252;BDN 7860 BDN CONSORCIO ALUMIN;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra053578.rce.brad;172.24.199.28;28185 BDN SUPERMERCADO CONTERRANEO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra026368.sat3.brad;172.27.190.44;BDN 14359 MINAS COUTRY CLUBE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra11916pb.sat1.brad;172.24.160.220;PAB 03 AGUCAREIRA CORONA - AG 0392;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra052457.jpa.brad;172.24.202.140;AG 2173   BAIRRO CANDELARIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12425bd.sts.brad;172.24.47.12;BDN 6144 PERALTA SUPERM.(PAO DE ACUCAR);C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20828ag.blm.brad;172.25.221.220;0460 AG IMPERATRIZ;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra055450.pjk.brad;172.25.67.220;PAB 0302-04 BOMBRIL - AG;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055425.bsa.brad;172.25.64.228;28618 BDN ATACADAO TOCANTINS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055242.nct.brad;172.25.41.236;27988_27989 BDN SUPERMERCADO CLUB DE CAMPO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055215.cta.brad;172.25.239.124;27602 BDN SUPER MUFFATO MARECHAL FLORIANO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035542bd.sat1.brad;172.17.23.172; BDN 26750 FLEXEIRAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055176.bhe.brad;172.25.52.164;27616 BDN CARREFOUR BAIRRO GUTIERREZ;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra039222.bru.brad;172.25.41.92;21867 BDN CASA HIRATA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055150.fla.brad;172.25.111.236;28450 BDN PINHEIRO SUPERMERCADO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra004604.poc.brad;172.24.15.228;0125 AG PAULA SOUZA;2801 (C2801-ENTBASE-M) versao:12.3(14)T6;n;-;
ra055027.bhe.brad;172.25.164.124;  17698_3218_24731 BDN PAB MAGNESITA REFRATARIOS SA;1841 (C1841-ADVENTERPRISEK9-M) versao:12.4(4)T;n;-;
ra054909.jve.brad;172.24.252.12;50069 BDN PAE NANETE TEXTIL LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra38677bd.sat2.brad;172.27.197.60;BDN 7306 BDN PAE SPAIPA - S. J. R. P.;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055021.mbi.brad;172.24.178.60;50080_50081 BDN CSU CARDSYSTEM SA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra37758bd.sat1.brad;172.27.137.12; BDN 22979 PAA ALFREDO VASCONCELOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra09912ag.mke.brad;172.25.105.204;AGC 3337 CARREFOUR PREZUNIC CENTER D CAXIAS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra01309.pat.brad;172.25.21.76;2231 AGP COLONIAL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra32188.cas.brad;172.27.44.132;AG 2188 - VILA JONES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra051593.pae.brad;172.24.248.148;BDN 27091 SUPERMERCADO RISSUL NOVO HAMBURGO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra01273.tte.brad;172.25.100.196;2204 AGP GUARATINGUETA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra054084.srr.brad;172.24.87.140;27757 BDN POUPATEMPO S.JOSE DO RIO PRETO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra053299.liv.brad;172.24.247.92;14930_50001 BDN PAB UTC ENGENHARIA S A;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra03798pb.sdr.brad;172.24.240.204;PAB 02 REAL SOC. ESP. BENEFICJNCIA - AG 3650;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra053499.pcs.brad;172.24.62.36;28083 BDN VILA NOVA SHOPPING;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra039945.mns.brad;172.26.241.118;12189 BDN PAE VIDEOLAR SA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09935ag.nct.brad;172.25.71.76;AGC 3207 HIPERMERCADOS EXTRA DIADEMA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra060506.rpo.brad;172.26.233.130;BDN 29584 SUPERMERCADO CAVALIN LJ 3;C1900 (C1900-UNIVERSALK9-M) versao:15.0(1)M4;y;Period left: Life time;
ra052741.mns.brad;172.24.232.116;BDN 27307 SHOPPING BEMOL BARROSO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra35214bd.sat1.brad;172.17.5.44; BDN 26330 PAA ORIZANIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035295bd.sat1.brad;172.17.9.204; BDN 26461 PAA CONDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055112.nct.brad;172.25.5.84;PAB  PAB 2495-04 TV GLOBO LTDA - AG;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra20895ag.pvo.brad;172.25.90.172;AG 0457 JI-PARANA;1841 (C1841-ENTBASEK9-M) versao:12.4(5a);n;-;
ra00926bd.cine.brad;172.25.124.244;BDN 12333 IMPERIO SOCIEDADE COMERCIAL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra37712bd.sat1.brad;172.27.133.220; BDN 35418 - BDN PAA SALITRE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035293bd.sat1.brad;172.17.9.172; BDN 26453 PAA LANDRI SALES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra052503.cba.brad;172.24.183.212;AG 1517  TREVO DE SANTO ANTONIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051952.mns.brad;172.24.113.236;BDN 27024 SHOPPING SAO JOSE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038046bd.sat1.brad;172.17.71.108; BDN 28265 PAA SAO BRAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra32041.bhe.brad;172.25.120.100;2041 AG SAO GOTARDO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra036057.sat1.brad;172.17.60.188; BDN 29106 PAA CAMPOS DE JULIO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra051843.fns.brad;172.24.228.252;BDN  26923 SUPER MANETTI SANTA LUZIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22896.sdr.brad;172.25.84.116;1173 AG VILAS DO ATLANTICO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra035158bd.sat1.brad;172.27.12.220; BDN 27818 PAA NAZAREZINHO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038207bd.sat1.brad;172.17.81.28; BDN 28589 PAA GAUCHA DO NORTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra37880.bsa.brad;172.26.125.98; BDN PAA 25649 BDN PAA PEDRO AFONSO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038062.pcs.brad;172.27.157.20;2  PAB 1627-02 PREF. SAO SEBASTIAO DO PARAISO - AG 1627;C1700 (C1700-IPBASE-M) versao:12.3(6e);n;-;
ra035835bd.sat1.brad;172.17.45.44; BDN 27169 ROSARIO OESTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038220bd.sat1.brad;172.17.82.12; BDN 28658 PAA LAGOA GRANDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035280.srr.brad;172.17.8.220; BDN 26416 PAA BENTO DE ABREU;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22477.srr.brad;172.25.8.12;0020 AG MIRANDOPOLIS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20611bd.poc.brad;172.24.103.188;BDN 20925 COOP CONSUMO LJ VL LUZITA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra03807ag.bru.brad;172.25.86.148;AG 0013 BAURU CENTRO;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra004595.poc.brad;172.25.47.220;0103 AG SENADOR QUEIROZ;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04384ag.mke.brad;172.24.114.100;2773 AG ACADEMIA BRAS LETRAS (EX-PRES WILSON);1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059465.igs.brad;172.26.129.186;AG RUA FRANCISCO MARENGO - URB -SP;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra18913pb.cas.brad;172.24.82.220;03 PAB  2431-03  N.G. METALURGICA   I - AG 2431;1841 (C1841-ADVENTERPRISEK9-M) versao:12.4(4)T;n;-;
ra050594.mke.brad;172.25.124.196;BDN 25317 SUPER GUANABARA FILIAL 29;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra054160.igs.brad;172.24.9.20; AG 1187 AG. RUA PADRE ROQUE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra37892.ula.brad;172.26.127.246; BDN PAA 25682 BDN PAA SANTA CRUZ DA ESPERANCA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051336.sdr.brad;172.25.226.52;PAB 4 PAB SEFAZ - SECRETARIA DA FAZENDA (PM SALVADOR) - AG 1757;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08349.pjk.brad;172.24.12.164;0130 AG MOOCA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra052612.vta.brad;172.24.130.220;1718 AG PRAIA DO CANTO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra21096pb.cens.brad;172.24.163.108;PAB 15 PAB IGREIJA UNIV REINO DE DEUS - AG 1499;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra15337bd.cba.brad;172.24.182.244;BDN 13227 / 3233 / 27109 ATACADAO DISTR COM IND LT;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038201bd.sat1.brad;172.17.80.188; BDN 28574 PAA BOA VENTURA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra33291ag.sat1.brad;172.27.70.220;AG 3291 ARAGUAINA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra05463bd.mke.brad;172.25.115.244;BDN 12446 - BDN FERRAGENS HAGA SA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra10487ag.pae.brad;172.25.253.252;3145 AG SIQUEIRA CAMPOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04608.poc.brad;172.25.47.244;0132 AG AGUA RASA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04603.mbi.brad;172.24.16.156;0124 AG LUZ;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra21269bd.jpa.brad;172.25.141.228;BDN 14271/ 14279 ALAGOA GRANDE PREFEITURA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08569.nct.brad;172.26.227.210;AG 113 SAO MIGUEL PTA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra050103.cas.brad;172.25.134.68;1098 AG AV DA AMIZADDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20561.pat.brad;172.24.103.132;AG 0815 VILA JOANIZA;C2600 (C2600-IS-M) versao:12.3(21);n;-;
ra004656.nct.brad;172.25.34.108;AG 0548 - VILA CLEMENTINO;C2600 (C2600-IS-M) versao:12.2(17a);n;-;
ra035044bd.sat1.brad;172.17.61.236; BDN 28021 PAA SALTO VELOSO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004597.pat.brad;172.25.88.36; 0111 AG VL ANASTACIO;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra052980.cas.brad;172.25.197.12;AG 2048 AVENIDA ANA BEATRIZ;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra03785.bnu.brad;172.24.242.220;PAB 32 CENEC - CIA NAC ESCOLAS DA COMUNIDADE - AG 358;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra004598.pjk.brad;172.25.28.164;0115 AG VILA PRUDENTE;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra039469.ula.brad;172.25.227.212;  13253 BDN ASSOCIACAO CULT EDUC FRANCA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra036036bra.sat1.brad;172.17.83.188;BDN 50098 PAE AUTOPLAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20256.ula.brad;172.24.255.180;BDN 21882 GRAAL POSTO ANTARES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra026449.sdr.brad;;;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra008578.pjk.brad;172.25.41.180;AG 0449 - AG BRIG LUIZ ANTONIO;C2600 (C2600-IS-M) versao:12.2(13)T5;n;-;
ra036033.sat1.brad;172.17.83.124;BDN 7407 SEMEATO II;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39562bd.sat1.brad;172.17.2.172; BDN 26287 PAA SAO MIGUEL DE TAIPU;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035570.fla.brad;172.26.125.190; BDN PAA 26776 BDN PAA MIRAIMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39581bd.sat1.brad;172.17.3.204;BDN 25755 NOTER SUL SUPERMERCADOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035409.mcl.brad;172.26.134.106; BDN PAA 28694 BDN PAA GUARACIAMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059423.pae.brad;172.26.243.162;29360 BDN TODO DIA NOVO HAMBURGO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39569bd.sat1.brad;172.17.3.28; BDN 14549 E 14550 SECRETARIA OBRAS - PREF MUN DE COARI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra057802.bru.brad;172.26.243.94;29248 BDN SUPERMERCADO RICOY RK 71;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra056974.pae.brad;172.26.245.246;28593 BDN 28593 SHOP IGUATEMI P ALEGRE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39629bd.sat1.brad;172.27.247.156;BDN 14481 50499 TRINDADE PREFEITURA MUNICIPAL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra057761.bhe.brad;172.26.243.42;50265 BDN CENTRO DE ESPECIALIDADES MEDICAS-STA CASA DE MISERICORDI;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39273bd.mns.brad;172.27.159.252;BDN 13589 FACULDADES CATHEDRAL DE ENSINO SUPERIOR;C2600 (C2600-IS-M) versao:12.0(8.0.2)T;n;-;
ra053397.igs.brad;172.24.225.100;27622 BDN AUTO POSTO GAS DUTRA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
